Manufacturer,Model,Year,Sales,Revenue
Toyota,Corolla,2021,1500.0,50000.0
Toyota,Camry,2022,2000.0,70000.0
Honda,Civic,2022,1800.0,60000.0
Honda,Accord,2021,1700.0,65000.0
Ford,Fusion,2021,1600.0,55000.0
Chevrolet,Silverado,2022,1900.0,75000.0
Chevrolet,Malibu,2021,1400.0,50000.0
Nissan,Altima,2022,2100.0,70000.0
Nissan,Sentra,2023,2300.0,85000.0
Toyota,Prius,2021,1600.0,60000.0
Honda,CR-V,2023,2200.0,75000.0
Honda,Pilot,2021,1500.0,55000.0
Ford,Explorer,2022,2000.0,70000.0
Ford,Escape,2023,1908.3333333333333,75000.0
Chevrolet,Equinox,2021,1700.0,60000.0
Chevrolet,Tahoe,2022,2200.0,80000.0
Nissan,Rogue,2023,2300.0,85000.0
Nissan,Murano,2021,1800.0,65000.0
Ford,Escape,2023,2100.0,75000.0
